项目,发布时间,供应商（乙方）,法定代表人,联系方式,合同金额（元）
北京西路院区老旧电力设施更新改造项目的合同公告,2025-07-01 09:07:08,上海银溢电器安装工程有限公司,汤玲慧(男),021-52974032,3561000.00
上海市精神卫生中心家具项目一公告,2025-07-01 08:55:37,苏州永固智能科技有限公司,吴勇(男),021-52219169,3319182.92
闵行校区餐饮管理费项目的合同公告,2025-07-01 08:53:13,上海东湖物业管理有限公司,陈杰(男),021-28954188,2250168.00
关于打印/复印纸的框架协议合同公告,2025-07-01 08:28:23,上海天运纸业有限公司,张善和(女),13817303546,390.00
灭菌器等设备公告,2025-07-01 07:03:42,上海致鑫医疗器械有限公司,王荣(女),021-64370045,998000.00
关于台式整机的框架协议合同公告,2025-06-30 19:37:47,上海至正科技有限公司,胡家明(男),021-52974032,99000.00
关于台式整机的框架协议合同公告,2025-06-30 19:36:12,上海至正科技有限公司,胡家明(男),021-52974032,960300.00
关于台式整机的框架协议合同公告,2025-06-30 19:32:14,上海至正科技有限公司,胡家明(男),021-52974032,267300.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-06-30 18:02:12,上海金栋管理咨询有限公司,夏建芬(女),18964313939,160000.00
关于显示器的框架协议合同公告,2025-06-30 17:43:14,上海森益智能科技有限公司,常莹(男),13564987734,94000.00
关于3台多功能一体机采购的框架协议合同公告,2025-06-30 17:36:51,上海肃诚办公设备有限公司,王震华(男),13601909627,14550.00
关于会计审计的框架协议合同公告,2025-06-30 17:35:07,上海文汇会计师事务所有限公司,张兵(男),13611792949,570000.00
关于制冷空调设备的框架协议合同公告,2025-06-30 17:19:59,上海赛时骏工贸有限公司,马嘉敏(男),15821289291,135247.00
上海交通大学附属中学安全技术防范系统达标建设（设备）的合同公告,2025-06-30 17:17:30,上海电气智慧城市信息科技有限公司,朱佼佼(男),18918757137,4350920.00
上海交通大学附属中学安全技术防范系统达标建设（设备）的合同公告,2025-06-30 17:16:47,上海电气智慧城市信息科技有限公司,朱佼佼(男),18918757137,999020.00
关于显示器的框架协议合同公告,2025-06-30 17:11:23,上海森益智能科技有限公司,常莹(男),13564987734,470000.00
关于一体机的框架协议合同公告,2025-06-30 17:07:36,上海至信信息科技有限公司,张筑生(男),021-60823238,882000.00
2025年无线电监测网通讯费用（一期）--电信线路的合同公告,2025-06-30 16:54:32,中国电信股份有限公司上海分公司,龚勃(男),021-33398418,1211333.60
关于彩色激光多功能一体机的框架协议合同公告,2025-06-30 16:53:27,上海潘多星实业有限公司,胡春花(女),13761624377,1890.00
关于制冷空调设备的框架协议合同公告,2025-06-30 16:52:08,上海璞旺冷暖机电设备有限公司,黄新蕾(男),13817560920,172636.00
关于制冷空调设备的框架协议合同公告,2025-06-30 16:45:16,上海中飞办公设备有限公司,许大山(男),13391149696,23980.00
临港新片区奉贤园区平霄路（大泐港西岸-正顺路）道路新建工程管线搬迁工程的合同公告,2025-06-30 16:39:52,上海惠冠通信发展有限公司,来树铨(男),021-38073323,2938156.78
两校区安保管理服务合同公告,2025-06-30 16:22:15,上海杰亨保安服务有限公司,张飞(男),15000910936,1350000.00
关于资产评估服务的框架协议合同公告,2025-06-30 16:15:12,上海三联资产评估有限公司,尹丽娜(女),15800845608,6000.00
关于制冷空调设备的框架协议合同公告,2025-06-30 16:15:03,上海政采智能科技有限公司,邹金明(男),17761988098,49490.00
关于投影机的框架协议合同公告,2025-06-30 15:53:06,上海御成数码科技有限公司,陈杨阳(女),13818541374,15900.00
关于台式整机的框架协议合同公告,2025-06-30 15:49:38,上海欧迪卡智能技术有限公司,林作柱(男),18916822318,917979.00
关于会计审计的框架协议合同公告,2025-06-30 15:42:10,上海上审会计师事务所有限公司,潘久文(男),18018883453,160000.00
关于显示器的框架协议合同公告,2025-06-30 15:37:11,上海如印智能科技有限公司,李小泳(男),18932208069,1749.00
关于打印/复印纸的框架协议合同公告,2025-06-30 15:36:32,上海如印智能科技有限公司,李小泳(男),021-61900756,600.00
关于制冷空调设备的框架协议合同公告,2025-06-30 15:35:05,上海高校华实空调设备有限公司,虞宏峰(男),13636371087,23030.00
关于台式整机的框架协议合同公告,2025-06-30 15:35:05,上海御成数码科技有限公司,陈杨阳(女),13818541374,6500.00
关于台式整机的框架协议合同公告,2025-06-30 15:34:34,上海御成数码科技有限公司,陈杨阳(女),13818541374,19500.00
关于资产评估服务的框架协议合同公告,2025-06-30 15:16:16,上海三联资产评估有限公司,尹丽娜(女),13917917860,10000.00
关于打印/复印纸的框架协议合同公告,2025-06-30 15:09:07,上海绮馨实业有限公司,李彭飞(男),13917171635,606.90
疾控安保服务公告,2025-06-30 15:08:02,上海翔鹰保安服务有限公司,刘进华(男),021-62758710,1209600.00
疾控安保服务公告,2025-06-30 15:06:16,上海翔鹰保安服务有限公司,刘进华(男),021-62758710,6007200.00
疾控安保服务公告,2025-06-30 15:05:11,上海翔鹰保安服务有限公司,刘进华(男),021-62758710,1147800.00
关于打印/复印纸的框架协议合同公告,2025-06-30 14:57:17,上海皓建纸业有限公司,何浩(男),无,855.00
关于制冷空调设备的框架协议合同公告,2025-06-30 14:54:29,上海科勤工程技术有限公司,滕忆文(男),021-69982576,3050.00
关于资产评估服务的框架协议合同公告,2025-06-30 14:49:38,上海立信资产评估有限公司,杨伟暾(男),13601798887,999.00
关于台式整机的框架协议合同公告,2025-06-30 14:48:58,上海彦瑞智能科技有限公司,杨小容(女),13002135267,903340.00
对“新一代国产高活性钙磷人工骨材料器械应用示范研究”项目审计合同公告,2025-06-30 14:47:15,上海行远会计师事务所（普通合伙）,何晓元(男),15771372597,33000.00
船艇燃料费的合同公告,2025-06-30 14:46:37,中国石化燃料油销售有限公司上海分公司,孙磊(男),13774216230,3003550.00
医疗保障“一网统管”数字化创新场景子系统建设项目公告,2025-06-30 14:46:04,万达信息股份有限公司,钱维章(男),021-62581123,1685000.00
关于资产评估服务的框架协议合同公告,2025-06-30 14:33:32,上海信达资产评估有限公司,韩世新(男),021-56164364,8400.00
关于物业管理服务的框架协议合同公告,2025-06-30 14:17:25,上海三毛保安服务有限公司,李根(男),021-53026227,450000.00
关于制冷空调设备的框架协议合同公告,2025-06-30 14:16:56,上海堡旭实业有限公司,张剑晨(男),18582075843,4040.00
关于笔记本电脑的框架协议合同公告,2025-06-30 13:57:18,上海多融科技发展有限公司,李伟亭(男),13621772636,8490.00
灭菌器等设备公告,2025-06-30 13:56:21,深圳市生强科技有限公司,黄强(男),021-64370045,1250000.00
关于台式整机的框架协议合同公告,2025-06-30 13:53:50,上海渲冉电子科技有限公司,周冬峰(男),18017716907,5950.00
关于台式整机的框架协议合同公告,2025-06-30 13:46:51,上海御成数码科技有限公司,陈杨阳(女),18912345678,17700.00
关于资产评估服务的框架协议合同公告,2025-06-30 13:25:48,上海八达国瑞联行资产评估有限公司,赵震磊(男),18621183172,5000.00
关于资产评估服务的框架协议合同公告,2025-06-30 13:17:07,上海强睿资产评估有限公司,梁红福(男),021-51371530,3999.96
手术显微镜等设备一批公告,2025-06-30 13:16:41,上海汇丰医药药材有限责任公司,朱兴(男),021-64370045,2633400.00
中心宣传材料印刷服务合同公告,2025-06-30 13:13:56,上海铁路印刷有限公司,陈建宇(男),18918885072,2400.00
关于彩色激光多功能一体机的框架协议合同公告,2025-06-30 12:57:09,上海冠德科贸有限公司,杨江鹏(男),021-61900756,1800.00
关于彩色激光多功能一体机的框架协议合同公告,2025-06-30 12:56:18,上海冠德科贸有限公司,杨江鹏(男),021-61900756,2800.00
关于彩色激光多功能一体机的框架协议合同公告,2025-06-30 12:55:07,上海冠德科贸有限公司,杨江鹏(男),021-61900756,5000.00
手术显微镜等设备一批公告,2025-06-30 12:54:40,上海吴真实业中心（有限合伙）,王丽强(男),021-64370045,2091600.00
关于新能源轿车的框架协议合同公告,2025-06-30 12:52:40,上海吉屹汽车销售服务有限公司,周帮连(男),13611629403,146900.00
关于打印/复印纸的框架协议合同公告,2025-06-30 12:45:56,斯德（上海）信息技术服务有限公司,周诚(男),021-31773209,49667.00
关于复印机的框架协议合同公告,2025-06-30 12:09:43,上海邦邻智能信息技术发展有限公司,檀丽娟(女),021-62967652,44000.00
关于彩色激光多功能一体机的框架协议合同公告,2025-06-30 12:08:25,上海邦邻智能信息技术发展有限公司,檀丽娟(女),02158395328,3000.00
关于打印/复印纸的框架协议合同公告,2025-06-30 11:25:40,上海绮馨实业有限公司,李彭飞(男),15026779967,42000.00
喜泰支路校区大修三期工程工程总承包合同施工费公告,2025-06-30 11:23:11,上海捷赛建设工程有限公司,罗捷(男),15002111550,10709799.00
关于一体机的框架协议合同公告,2025-06-30 11:08:35,上海易承志通信息技术有限公司,刘惠珍(女),15026667187,23200.00
关于台式整机的框架协议合同公告,2025-06-30 11:08:02,上海国际技贸联合有限公司,曹宁(男),13918350609,198100.00
关于台式整机的框架协议合同公告,2025-06-30 11:07:07,上海国际技贸联合有限公司,曹宁(男),13918350609,32150.00
关于制冷空调设备的框架协议合同公告,2025-06-30 11:06:28,上海裕晟空调设备有限公司,王锦飞(女),13774477466,25040.00
关于打印/复印纸的框架协议合同公告,2025-06-30 10:57:17,上海绮馨实业有限公司,李彭飞(男),15800845608,10003.50
关于笔记本电脑的框架协议合同公告,2025-06-30 10:53:40,上海仪电鑫森科技发展有限公司,夏军(男),18918880058,72720.00
关于台式整机的框架协议合同公告,2025-06-30 10:49:08,上海仪电鑫森科技发展有限公司,夏军(男),18018882536,12118.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-06-30 10:30:23,上海长际管理咨询有限公司,陆泰鑫(女),13301993659,100000.00
3D腹腔镜等设备公告,2025-06-30 10:29:02,上海觉逸商贸有限公司,陆德琴(女),021-64370045,1265000.00
微滴式数字PCR仪等设备公告,2025-06-30 10:17:37,上海双炜杰医疗器械有限公司,华懿洁(女),021-64370045,5600000.00
关于会计审计的框架协议合同公告,2025-06-30 10:16:08,上海文汇会计师事务所有限公司,张兵(男),13611792949,96000.00
关于资产评估服务的框架协议合同公告,2025-06-30 10:14:51,上海信达资产评估有限公司,韩世新(男),02165912727,10000.00
呼吸机等设备公告,2025-06-30 10:14:51,上海双炜杰医疗器械有限公司,华懿洁(女),021-64370045,4150000.00
市级农业重大项目跟踪评估的合同公告,2025-06-30 10:06:06,上海同济工程咨询有限公司,杨卫东(男),021-23116574,1980000.00
上海音乐学院2025年教职工体检的合同公告,2025-06-30 10:02:57,上海美年门诊部有限公司,俞熔(男),021-53307148,1860000.00
关于打印/复印纸的框架协议合同公告,2025-06-30 10:02:08,史泰博（上海）有限公司,张潮涌(男),无,19997.70
呼吸机等设备公告,2025-06-30 10:02:01,杭州润达泓泰医疗科技有限公司,郭仁祥(男),021-64370045,2979000.00
关于报纸类印刷服务的框架协议合同公告,2025-06-30 10:01:08,上海界龙中报印务有限公司,任端正(男),18116032103,1754.50
关于台式整机的框架协议合同公告,2025-06-30 09:56:50,上海至正科技有限公司,胡家明(男),13761956492,413931.00
关于笔记本电脑的框架协议合同公告,2025-06-30 09:55:57,上海至正科技有限公司,胡家明(男),13761956492,169983.00
上海市养志康复医院（上海市阳光康复中心）医疗设备1公告,2025-06-30 09:48:06,上海亿迈锐医疗科技有限公司,朱成(男),021-37730011,837000.00
上海市荣誉军人疗养院改扩建工程开办配套子系统建设项目公告,2025-06-30 09:28:45,中移建设有限公司,孙卫东(男),021-64355118,4290905.00
张江校区安保服务公告,2025-06-30 09:21:34,上海五蕴保安服务有限公司,程伟贤(男),021-51322024,4461072.00
关于制冷空调设备的框架协议合同公告,2025-06-30 09:18:59,上海馨赣实业有限公司,唐明星(男),13761299929,8180.00
关于会计审计的框架协议合同公告,2025-06-30 09:10:22,上海沪中会计师事务所有限公司,黎地(男),19946070508,378000.00
关于预算绩效评价咨询服务的框架协议合同公告,2025-06-29 15:24:36,上海鑫元建设工程咨询有限公司,徐俊(女),13341935817,42000.00
